work_id,Hon'ble Members of Parliament,State,action_type,assigned_to,priority_score,stuck_days,queue_type
WS/MP544/2025-2026/155276,Mr Gopal Jee Thakur,Bihar,Monitor,MP + District Authority,95.7,633.0,proactive
WS/MP544/2025-2026/155468,Mr Gopal Jee Thakur,Bihar,Monitor,MP + District Authority,95.7,633.0,proactive
WS/MP544/2025-2026/155462,Mr Gopal Jee Thakur,Bihar,Monitor,MP + District Authority,95.7,633.0,proactive
WS/MP544/2026-2027/154858,Mr Gopal Jee Thakur,Bihar,Monitor,MP + District Authority,95.7,635.0,proactive
WS/MP544/2026-2027/155456,Mr Gopal Jee Thakur,Bihar,Monitor,MP + District Authority,95.7,633.0,proactive
WS/MP544/2025-2026/155258,Mr Gopal Jee Thakur,Bihar,Monitor,MP + District Authority,95.7,633.0,proactive
WS/MP544/2025-2026/155260,Mr Gopal Jee Thakur,Bihar,Monitor,MP + District Authority,95.7,633.0,proactive
WS/MP544/2025-2026/155259,Mr Gopal Jee Thakur,Bihar,Monitor,MP + District Authority,95.7,633.0,proactive
WS/MP544/2025-2026/155464,Mr Gopal Jee Thakur,Bihar,Monitor,MP + District Authority,95.7,633.0,proactive
WS/MP544/2025-2026/155247,Mr Gopal Jee Thakur,Bihar,Monitor,MP + District Authority,95.7,633.0,proactive
WS/MP544/2026-2027/154857,Mr Gopal Jee Thakur,Bihar,Monitor,MP + District Authority,95.7,635.0,proactive
WS/MP544/2025-2026/155248,Mr Gopal Jee Thakur,Bihar,Monitor,MP + District Authority,95.7,633.0,proactive
WS/MP544/2025-2026/155249,Mr Gopal Jee Thakur,Bihar,Monitor,MP + District Authority,95.7,633.0,proactive
WS/MP544/2025-2026/155458,Mr Gopal Jee Thakur,Bihar,Monitor,MP + District Authority,95.7,633.0,proactive
WS/MP18019/2024-2025/137597,AMARSING TISSO,Assam,Monitor,MP + District Authority,95.4,667.0,proactive
WS/MP18074/2024-2025/138716,KALI CHARAN MUNDA,Jharkhand,Monitor,MP + District Authority,95.2,695.0,proactive
WS/MP641/2024-2025/150917,Gajendra Singh Patel,Madhya Pradesh,Monitor,MP + District Authority,95.1,656.0,proactive
WS/MP423/2026-2027/136934,Ramprit Mandal,Bihar,Monitor,MP + District Authority,95.0,123.0,proactive
WS/MP435/2024-2025/146545,Sanjay Seth,Jharkhand,Monitor,MP + District Authority,94.9,600.0,proactive
WS/MP435/2024-2025/147145,Sanjay Seth,Jharkhand,Monitor,MP + District Authority,94.9,605.0,proactive
WS/MP435/2024-2025/145626,Sanjay Seth,Jharkhand,Monitor,MP + District Authority,94.9,600.0,proactive
WS/MP435/2024-2025/146303,Sanjay Seth,Jharkhand,Monitor,MP + District Authority,94.9,600.0,proactive
WS/MP435/2024-2025/146547,Sanjay Seth,Jharkhand,Monitor,MP + District Authority,94.8,605.0,proactive
