Sr. No.,Work category,WORK,State,IDA,Hon'ble Members of Parliament,Constituency,Work description,Recommended date,RECOMMENDED AMOUNT   ( ₹ ),Sanction Date,work_id,work_type,recommended_amount,recommended_date,sanction_date,sanction_amount,Work Status,sanction_delay_days,is_sanctioned,baseline_median,baseline_std,baseline_level,cost_zscore,is_sanctioned_flag,amount_disbursed,is_completed,image_missing_flag,stuck_days,delay_feature,disbursement_gap_pct,vendor_total_works,vendor_data_available,vendor_concentration_score,total_disbursed_so_far,spent_pct_of_recommended,funds_exhausted_not_completed_flag,repetition_count,fraud_risk_score,inefficiency_score,fraud_risk_tier,inefficiency_tier,fraud_reason,inefficiency_reason,data_confidence,compliance_flags,compliance_flag_count,needs_fraud_review
10527,Normal/Others,WS/MP852/2024-2025/154553-Lighting of public spaces,West Bengal,MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA),Abu Taher Khan,MURSHIDABAD,Installation of solar high mast light in front of dararkandi more  dag-3806 under habaspur  GP,24-Nov-2024,140538,17-Mar-2025,WS/MP852/2024-2025/154553,Lighting of public spaces,140538.0,2024-11-24,,,,,False,140538.0,508931.88744545815,state+category,0.0,0,,False,0,637.0,637.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,0.0,22.8,Low,Low,No payment record yet — vendor pattern unverified,Stuck at sanctioning stage for 637 days since recommendation,33,,0,False
10528,Normal/Others,WS/MP852/2024-2025/154554-Lighting of public spaces,West Bengal,MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA),Abu Taher Khan,MURSHIDABAD,Installation of solar high mast light in front of Gobra oktia masjid mandalpara  dag-613 under Kuthirampur  GP,24-Nov-2024,140538,17-Mar-2025,WS/MP852/2024-2025/154554,Lighting of public spaces,140538.0,2024-11-24,,,,,False,140538.0,508931.88744545815,state+category,0.0,0,,False,0,637.0,637.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,0.0,22.8,Low,Low,No payment record yet — vendor pattern unverified,Stuck at sanctioning stage for 637 days since recommendation,33,,0,False
10529,Normal/Others,WS/MP852/2024-2025/154555-Lighting of public spaces,West Bengal,MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA),Abu Taher Khan,MURSHIDABAD,Installation of solar high mast light in front of kaosar tea shop paharpur dag-220 under Kuthirampur  GP,24-Nov-2024,140538,17-Mar-2025,WS/MP852/2024-2025/154555,Lighting of public spaces,140538.0,2024-11-24,,,,,False,140538.0,508931.88744545815,state+category,0.0,0,,False,0,637.0,637.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,0.0,22.8,Low,Low,No payment record yet — vendor pattern unverified,Stuck at sanctioning stage for 637 days since recommendation,33,,0,False
10530,Normal/Others,WS/MP852/2024-2025/154556-Lighting of public spaces,West Bengal,MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA),Abu Taher Khan,MURSHIDABAD,Installation of solar high mast light in front of Takiballar more dag-1185 under hanumantnagar  GP,24-Nov-2024,140538,17-Mar-2025,WS/MP852/2024-2025/154556,Lighting of public spaces,140538.0,2024-11-24,,,,,False,140538.0,508931.88744545815,state+category,0.0,0,,False,0,637.0,637.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,0.0,22.8,Low,Low,No payment record yet — vendor pattern unverified,Stuck at sanctioning stage for 637 days since recommendation,33,,0,False
10531,Normal/Others,WS/MP852/2024-2025/154557-Lighting of public spaces,West Bengal,MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA),Abu Taher Khan,MURSHIDABAD,Installation of solar high mast light in front of ramnapara katra masjid  dag-9697 under mahisthali GP,24-Nov-2024,140538,17-Mar-2025,WS/MP852/2024-2025/154557,Lighting of public spaces,140538.0,2024-11-24,,,,,False,140538.0,508931.88744545815,state+category,0.0,0,,False,0,637.0,637.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,0.0,22.8,Low,Low,No payment record yet — vendor pattern unverified,Stuck at sanctioning stage for 637 days since recommendation,33,,0,False
10532,Normal/Others,WS/MP852/2024-2025/154558-Lighting of public spaces,West Bengal,MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA),Abu Taher Khan,MURSHIDABAD,Installation of solar high mast light in front of char labangola more dag-1712 under hanumantnagar  GP,24-Nov-2024,140538,17-Mar-2025,WS/MP852/2024-2025/154558,Lighting of public spaces,140538.0,2024-11-24,,,,,False,140538.0,508931.88744545815,state+category,0.0,0,,False,0,637.0,637.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,0.0,22.8,Low,Low,No payment record yet — vendor pattern unverified,Stuck at sanctioning stage for 637 days since recommendation,33,,0,False
10533,Normal/Others,WS/MP852/2024-2025/154559-Lighting of public spaces,West Bengal,MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA),Abu Taher Khan,MURSHIDABAD,Installation of solar high mast light in front of Kalukhali Byepass more dag-123 under Mahisthali  GP,24-Nov-2024,140538,17-Mar-2025,WS/MP852/2024-2025/154559,Lighting of public spaces,140538.0,2024-11-24,,,,,False,140538.0,508931.88744545815,state+category,0.0,0,,False,0,637.0,637.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,0.0,22.8,Low,Low,No payment record yet — vendor pattern unverified,Stuck at sanctioning stage for 637 days since recommendation,33,,0,False
10534,Normal/Others,WS/MP852/2024-2025/154560-Construction of public toilets and bathrooms,West Bengal,MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA),Abu Taher Khan,MURSHIDABAD,Construction of Toilet Block at Gobra jumma masjid wthin kuthirampu gp under bhagwangola-i panchayat samity,24-Nov-2024,720000,17-Mar-2025,WS/MP852/2024-2025/154560,Construction of public toilets and bathrooms,720000.0,2024-11-24,,,,,False,349502.0,910358.7427717781,category-only,0.40698021844876353,0,,False,0,637.0,637.0,0.0,2.0,1,1.0986122886681098,710995.0,98.74930555555555,1,1,56.6,22.8,Medium,Low,99% of funds spent but work not completed (same pattern as a confirmed CAG-audited case),Stuck at sanctioning stage for 637 days since recommendation,67,"99% of funds already spent but work not completed (matches confirmed CAG-audited waste pattern — Report 22/2025, Para 3.1)",1,True
10535,Normal/Others,WS/MP384/2024-2025/154561-Construction of community centers and community halls,Rajasthan,BIKANER(DISTRICT COLLECTOR BIKANER_IDA),Shri Arjun Ram Meghwal,BIKANER(SC),"Sarwjanik Hall Nirman Kaary, Mahadev Mandir Ke Pass, Ward No3, Sujandesar, Bikaner   Working Agency : Nagar Nigam, Bikaner   Contact Person : Nand Kishore Gahlot, Parshad Ward No 3, Sujandesar Bikaner",24-Nov-2024,1500000,20-Jan-2025,WS/MP384/2024-2025/154561,Construction of community centers and community halls,1500000.0,2024-11-24,,,,,False,981300.0,824932.5892412575,state+category,0.6287786502374467,0,,False,0,637.0,637.0,0.0,1.0,1,0.6931471805599453,1257490.0,83.83266666666667,0,1,41.8,22.8,Medium,Low,No strong fraud signal,Stuck at sanctioning stage for 637 days since recommendation,67,,0,False
10536,Repair and Renovation,"WS/MP852/2024-2025/154562-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)",West Bengal,MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA),Abu Taher Khan,MURSHIDABAD,Repair & Renovation of Existing Building at Bhagwangola police station in the District murshidabad Part-I,24-Nov-2024,500569,17-Mar-2025,WS/MP852/2024-2025/154562,"Construction of Government office buildings (Post office, Police station, Police chauki, etc.)",500569.0,2024-11-24,,,,,False,1000000.0,996776.620484478,category-only,-0.5010460616113309,0,,False,0,637.0,637.0,0.0,1.0,1,0.6931471805599453,500569.0,100.0,1,1,67.8,22.8,Medium,Low,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case),Stuck at sanctioning stage for 637 days since recommendation,67,"100% of funds already spent but work not completed (matches confirmed CAG-audited waste pattern — Report 22/2025, Para 3.1)",1,True
10537,Repair and Renovation,"WS/MP852/2024-2025/154563-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)",West Bengal,MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA),Abu Taher Khan,MURSHIDABAD,Repair & Renovation of Existing Building at Bhagwangola police station in the District murshidabad part-II,24-Nov-2024,500569,17-Mar-2025,WS/MP852/2024-2025/154563,"Construction of Government office buildings (Post office, Police station, Police chauki, etc.)",500569.0,2024-11-24,,,,,False,1000000.0,996776.620484478,category-only,-0.5010460616113309,0,,False,0,637.0,637.0,0.0,1.0,1,0.6931471805599453,500569.0,100.0,1,1,67.8,22.8,Medium,Low,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case),Stuck at sanctioning stage for 637 days since recommendation,67,"100% of funds already spent but work not completed (matches confirmed CAG-audited waste pattern — Report 22/2025, Para 3.1)",1,True
10538,Normal/Others,WS/MP852/2024-2025/154564-Lighting of public spaces,West Bengal,MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA),Abu Taher Khan,MURSHIDABAD,Installation of solar high mast light in front of Arati saha ration Dealer House more dag-474 under bahagwangola GP,24-Nov-2024,140538,17-Mar-2025,WS/MP852/2024-2025/154564,Lighting of public spaces,140538.0,2024-11-24,,,,,False,140538.0,508931.88744545815,state+category,0.0,0,,False,0,637.0,637.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,0.0,22.8,Low,Low,No payment record yet — vendor pattern unverified,Stuck at sanctioning stage for 637 days since recommendation,33,,0,False
10539,Normal/Others,WS/MP852/2024-2025/154565-Lighting of public spaces,West Bengal,MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA),Abu Taher Khan,MURSHIDABAD,Installation of solar high mast light in front of Charbinapara kabarsthan dag-2019 under hanumantanagar GP,24-Nov-2024,140538,17-Mar-2025,WS/MP852/2024-2025/154565,Lighting of public spaces,140538.0,2024-11-24,,,,,False,140538.0,508931.88744545815,state+category,0.0,0,,False,0,637.0,637.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,0.0,22.8,Low,Low,No payment record yet — vendor pattern unverified,Stuck at sanctioning stage for 637 days since recommendation,33,,0,False
10540,Normal/Others,WS/MP852/2024-2025/154566-Lighting of public spaces,West Bengal,MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA),Abu Taher Khan,MURSHIDABAD,Installation of solar high mast light in front of Al fayed sarkar house  dag-2911 under Kantanagar GP,24-Nov-2024,140538,17-Mar-2025,WS/MP852/2024-2025/154566,Lighting of public spaces,140538.0,2024-11-24,,,,,False,140538.0,508931.88744545815,state+category,0.0,0,,False,0,637.0,637.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,0.0,22.8,Low,Low,No payment record yet — vendor pattern unverified,Stuck at sanctioning stage for 637 days since recommendation,33,,0,False
10541,Normal/Others,WS/MP852/2024-2025/154567-Lighting of public spaces,West Bengal,MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA),Abu Taher Khan,MURSHIDABAD,Installation of solar high mast light in front of Khularpukur Kabarsthan dag-2834 under bahagwangola GP,24-Nov-2024,140538,17-Mar-2025,WS/MP852/2024-2025/154567,Lighting of public spaces,140538.0,2024-11-24,,,,,False,140538.0,508931.88744545815,state+category,0.0,0,,False,0,637.0,637.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,0.0,22.8,Low,Low,No payment record yet — vendor pattern unverified,Stuck at sanctioning stage for 637 days since recommendation,33,,0,False
10542,Normal/Others,"WS/MP852/2024-2025/154568-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)",West Bengal,MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA),Abu Taher Khan,MURSHIDABAD,Construction for Morgue and green rooms with shade for pathways at hahiharpara police station,24-Nov-2024,2386402,17-Mar-2025,WS/MP852/2024-2025/154568,"Construction of Government office buildings (Post office, Police station, Police chauki, etc.)",2386402.0,2024-11-24,,,,,False,1000000.0,996776.620484478,category-only,1.3908853513499813,0,,False,0,637.0,637.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,9.5,22.8,Low,Low,No payment record yet — vendor pattern unverified,Stuck at sanctioning stage for 637 days since recommendation,33,,0,False
10543,Normal/Others,WS/MP852/2024-2025/154569-Construction of boundary walls of existing public and community buildings,West Bengal,MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA),Abu Taher Khan,MURSHIDABAD,Construction of Main gate at sahadiar high madrasha (h.s) within garaimari G.P under Domkal Block,24-Nov-2024,489373,17-Mar-2025,WS/MP852/2024-2025/154569,Construction of boundary walls of existing public and community buildings,489373.0,2024-11-24,,,,,False,500000.0,1164883.5390612655,state+category,-0.009122800386177564,0,,False,0,637.0,637.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,0.1,22.8,Low,Low,No payment record yet — vendor pattern unverified,Stuck at sanctioning stage for 637 days since recommendation,33,,0,False
10544,Normal/Others,WS/MP18065/2024-2025/154575-Construction of community centers and community halls,Haryana,JHAJJAR(DEPUTY COMMISSIONER cum NODAL OFFICER MPLADS JHAJJAR),DEEPENDER SINGH HOODA,ROHTAK,Comp. of Hall near Mandir,25-Nov-2024,250000,27-Jan-2025,WS/MP18065/2024-2025/154575,Construction of community centers and community halls,250000.0,2024-11-25,,,,,False,500000.0,296486.7925148401,state+category,-0.8432078807945104,0,,False,0,636.0,636.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,7.8,24.9,Low,Low,No payment record yet — vendor pattern unverified,Stuck at sanctioning stage for 636 days since recommendation,33,,0,False
10545,Normal/Others,"WS/MP856/2024-2025/154576-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA),Rajnath Singh,LUCKNOW,Kurmanchal Nagar mein  H.No. E-24 se H.No. E-105 Dono patriyo par interlocking tiles ka nirman karya. Length-200 Meter,25-Nov-2024,756913,20-Jan-2025,WS/MP856/2024-2025/154576,"Construction of roads, link roads, pathways or any other road with or without drainage system",756913.0,2024-11-25,,,,,False,896912.0,728307.1130346985,state+category,-0.19222522682313836,0,756913.0,True,0,0.0,0.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,1.2,30.9,Low,Low,No payment record yet — vendor pattern unverified,Completed — no execution backlog,67,,0,False
10546,Normal/Others,"WS/MP856/2024-2025/154577-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA),Rajnath Singh,LUCKNOW,H.No. D-1021 se H.No. D-1069 tak side patri interlocking avm nali nirman karya. Length-215 Meter,25-Nov-2024,959562,27-Jan-2025,WS/MP856/2024-2025/154577,"Construction of roads, link roads, pathways or any other road with or without drainage system",959562.0,2024-11-25,,,,,False,896912.0,728307.1130346985,state+category,0.08602140344195043,0,959562.0,True,0,0.0,0.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,0.5,30.9,Low,Low,No payment record yet — vendor pattern unverified,Completed — no execution backlog,67,,0,False
10547,Normal/Others,"WS/MP856/2024-2025/154578-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA),Rajnath Singh,LUCKNOW,PAC Rahinagar mein Appu Park ke kinare Pathway ka tiles ka nirman karya.  Length-125 Meter,25-Nov-2024,973743,20-Jan-2025,WS/MP856/2024-2025/154578,"Construction of roads, link roads, pathways or any other road with or without drainage system",973743.0,2024-11-25,,,,,False,896912.0,728307.1130346985,state+category,0.1054925849616679,0,973743.0,True,0,0.0,0.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,0.8,30.9,Low,Low,No payment record yet — vendor pattern unverified,Completed — no execution backlog,67,,0,False
10548,Normal/Others,"WS/MP856/2024-2025/154579-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA),Rajnath Singh,LUCKNOW,"E-58, Srivastava ji ke Makan se E-7 Pili Kothi ke side matri interlocking Sadak Nali ka nirman karya. Length-120 Meter",25-Nov-2024,896394,20-Jan-2025,WS/MP856/2024-2025/154579,"Construction of roads, link roads, pathways or any other road with or without drainage system",896394.0,2024-11-25,,,,,False,896912.0,728307.1130346985,state+category,-0.0007112384195200371,0,896394.0,True,0,0.0,0.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,0.0,30.9,Low,Low,No payment record yet — vendor pattern unverified,Completed — no execution backlog,67,,0,False
10549,Normal/Others,WS/MP18159/2024-2025/154581-Construction of public libraries and reading rooms,Rajasthan,ALWAR(DISTRICT COLLECTOR ALWAR_IDA),BHUPENDER YADAV,ALWAR,"Construction work of library room with veranda in Government Higher Secondary School, Nagli Megha, G.P. Nagli Megha, P.S. Ramgarh",25-Nov-2024,988259,22-Dec-2024,WS/MP18159/2024-2025/154581,Construction of public libraries and reading rooms,988259.0,2024-11-25,,,,,False,1049661.0,295637.277001944,state+category,-0.2076937002758155,0,988259.0,True,0,0.0,0.0,0.0,1.0,1,0.6931471805599453,513446.0,51.95459894622766,0,1,38.4,30.9,Low,Low,No strong fraud signal,Completed — no execution backlog,100,,0,False
10550,Normal/Others,"WS/MP18188/2024-2025/154582-Construction of roads, link roads, pathways or any other road with or without drainage system",Telangana,RANGA REDDY(DISTRICT COLLECTOR RANGAREDDY_IDA),KONDA VISHWESHWAR REDDY,CHELVELLA,Laying of CC Road from Bodapothula Narayana House to Ramchandra Reddy House at Devuni Yerravally Village of Chevella Mandal,25-Nov-2024,423500,12-Feb-2025,WS/MP18188/2024-2025/154582,"Construction of roads, link roads, pathways or any other road with or without drainage system",423500.0,2024-11-25,,,,,False,493330.5,286379.82801138854,state+category,-0.24383875248791279,0,423500.0,True,0,0.0,0.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,1.4,30.9,Low,Low,No payment record yet — vendor pattern unverified,Completed — no execution backlog,67,,0,False
10551,Normal/Others,WS/MP18188/2024-2025/154584-Providing drains and gutters for public drainage,Telangana,RANGA REDDY(DISTRICT COLLECTOR RANGAREDDY_IDA),KONDA VISHWESHWAR REDDY,CHELVELLA,Construction of UGD from MD Anif House to R. Venkatesh House at Manmarry Village of Shabad Mandal,25-Nov-2024,338859,12-Feb-2025,WS/MP18188/2024-2025/154584,Providing drains and gutters for public drainage,338859.0,2024-11-25,,,,,False,495000.0,155818.47921721588,state+category,-1.0020698493811797,0,,False,0,636.0,636.0,0.0,1.0,1,0.6931471805599453,338859.0,100.0,1,1,73.6,24.9,High,Low,100% of funds spent but work not completed (same pattern as a confirmed CAG-audited case),Stuck at sanctioning stage for 636 days since recommendation,67,"100% of funds already spent but work not completed (matches confirmed CAG-audited waste pattern — Report 22/2025, Para 3.1)",1,True
10552,Normal/Others,"WS/MP856/2024-2025/154585-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA),Rajnath Singh,LUCKNOW,Hariharnagar mein Imityaz Ahmad ke Plot se Satyender Singh Chauhan ke Ghar tak Kulwanti Kanvent School ki CC Road avm Nali Nirman ka karya. Length 80 Meter,25-Nov-2024,1000000,25-Jan-2025,WS/MP856/2024-2025/154585,"Construction of roads, link roads, pathways or any other road with or without drainage system",1000000.0,2024-11-25,,,,,False,896912.0,728307.1130346985,state+category,0.14154468376733897,0,999566.0,True,1,0.0,0.0,0.0434,0.0,0,1.0986122886681098,,0.0,0,1,36.2,30.9,Low,Low,Marked completed but no photo evidence uploaded; No payment record yet — vendor pattern unverified,Completed — no execution backlog,67,No photo evidence on record for a completed work,1,True
10553,Normal/Others,"WS/MP856/2024-2025/154586-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA),Rajnath Singh,LUCKNOW,Vimal Nagar main Ramchander Pangu ke makan se surender Verma ke makan tak Interlocking Sadak avm Nali Nirman ka karya. Length-110 Meter,25-Nov-2024,1170662,25-Jan-2025,WS/MP856/2024-2025/154586,"Construction of roads, link roads, pathways or any other road with or without drainage system",1170662.0,2024-11-25,,,,,False,896912.0,728307.1130346985,state+category,0.3758716551034945,0,1170662.0,True,0,0.0,0.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,2.8,30.9,Low,Low,No payment record yet — vendor pattern unverified,Completed — no execution backlog,67,,0,False
10554,Normal/Others,"WS/MP856/2024-2025/154587-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA),Rajnath Singh,LUCKNOW,H.No. 17/734 se Bhawan No. 17/761 tak interlocking sadak avm Nali Nirman Karya. Length-65 Meter.,25-Nov-2024,373845,25-Jan-2025,WS/MP856/2024-2025/154587,"Construction of roads, link roads, pathways or any other road with or without drainage system",373845.0,2024-11-25,,,,,False,896912.0,728307.1130346985,state+category,-0.7181956493881994,0,373845.0,True,0,0.0,0.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,5.5,30.9,Low,Low,No payment record yet — vendor pattern unverified,Completed — no execution backlog,67,,0,False
10555,Normal/Others,"WS/MP856/2024-2025/154588-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA),Rajnath Singh,LUCKNOW,Shivani Vihar Colony mein Ram Govind Shukla B-48 ke bagal se Sanghya Public School hote hue Kushal Singh Bhist ji ke Makan tak Interlocking Road avm Nali Nirman Karya. Length-120 Meter,25-Nov-2024,1169428,25-Jan-2025,WS/MP856/2024-2025/154588,"Construction of roads, link roads, pathways or any other road with or without drainage system",1169428.0,2024-11-25,,,,,False,896912.0,728307.1130346985,state+category,0.37417731493035217,0,1169428.0,True,0,0.0,0.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,2.8,30.9,Low,Low,No payment record yet — vendor pattern unverified,Completed — no execution backlog,67,,0,False
10556,Normal/Others,WS/MP18188/2024-2025/154589-Installing tube-wells and borewells,Telangana,RANGA REDDY(DISTRICT COLLECTOR RANGAREDDY_IDA),KONDA VISHWESHWAR REDDY,CHELVELLA,Drilling of New Borewell and Supply and Delivery of New Motor and its materials at KGBV Hostel at Shankerpally Municipality,25-Nov-2024,200000,01-Mar-2025,WS/MP18188/2024-2025/154589,Installing tube-wells and borewells,200000.0,2024-11-25,,,,,False,170643.0,231435.37475234075,state+category,0.12684750562188238,0,,False,0,636.0,636.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,1.1,24.9,Low,Low,No payment record yet — vendor pattern unverified,Stuck at sanctioning stage for 636 days since recommendation,33,,0,False
10557,Normal/Others,"WS/MP856/2024-2025/154590-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA),Rajnath Singh,LUCKNOW,LDA Colony main RS-2 355 SE RS-2 388 tak nali avm side patri interlocking ka karya. Length-134 Meter,25-Nov-2024,529264,25-Jan-2025,WS/MP856/2024-2025/154590,"Construction of roads, link roads, pathways or any other road with or without drainage system",529264.0,2024-11-25,,,,,False,896912.0,728307.1130346985,state+category,-0.5047980356364915,0,529264.0,True,0,0.0,0.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,3.0,30.9,Low,Low,No payment record yet — vendor pattern unverified,Completed — no execution backlog,67,,0,False
10558,Normal/Others,"WS/MP856/2024-2025/154591-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA),Rajnath Singh,LUCKNOW,badri shah len saasdatganj khas me mandir ke pas c.c. evam nali nirmal karya-length-105 meter,25-Nov-2024,1540000,25-Jan-2025,WS/MP856/2024-2025/154591,"Construction of roads, link roads, pathways or any other road with or without drainage system",1540000.0,2024-11-25,,,,,False,896912.0,728307.1130346985,state+category,0.8829901404098487,0,1539729.0,True,0,0.0,0.0,0.017597402597402598,0.0,0,1.0986122886681098,,0.0,0,1,12.9,30.9,Low,Low,No payment record yet — vendor pattern unverified,Completed — no execution backlog,67,,0,False
10559,Normal/Others,"WS/MP18188/2024-2025/154592-Construction of roads, link roads, pathways or any other road with or without drainage system",Telangana,RANGA REDDY(DISTRICT COLLECTOR RANGAREDDY_IDA),KONDA VISHWESHWAR REDDY,CHELVELLA,"Laying of CC Road from Kallu Dukanam to Katike Ramchandraiah House and Yatahm Narsimlu House to Siddaiah House at Chakaliguda Village, H/o. Kethireddypally Village of Moinabad Mandal",25-Nov-2024,499974,12-Feb-2025,WS/MP18188/2024-2025/154592,"Construction of roads, link roads, pathways or any other road with or without drainage system",499974.0,2024-11-25,,,,,False,493330.5,286379.82801138854,state+category,0.023198212130135808,0,499974.0,True,0,0.0,0.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,0.0,30.9,Low,Low,No payment record yet — vendor pattern unverified,Completed — no execution backlog,67,,0,False
10560,Normal/Others,"WS/MP856/2024-2025/154593-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA),Rajnath Singh,LUCKNOW,Roshan Nagar me Sarika evam Alihasan wali gali me interlocking sadak evm nali nirman karya-length-90 meter,25-Nov-2024,896953,25-Jan-2025,WS/MP856/2024-2025/154593,"Construction of roads, link roads, pathways or any other road with or without drainage system",896953.0,2024-11-25,,,,,False,896912.0,728307.1130346985,state+category,5.629493281915352e-05,0,,False,0,636.0,636.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,0.0,24.9,Low,Low,No payment record yet — vendor pattern unverified,Stuck at sanctioning stage for 636 days since recommendation,33,,0,False
10561,Normal/Others,"WS/MP18188/2024-2025/154594-Construction of roads, link roads, pathways or any other road with or without drainage system",Telangana,RANGA REDDY(DISTRICT COLLECTOR RANGAREDDY_IDA),KONDA VISHWESHWAR REDDY,CHELVELLA,Laying of CC Road from Ramaswamy House to Pala Banthu at Antharam Village of Chevella Mandal,25-Nov-2024,423429,12-Feb-2025,WS/MP18188/2024-2025/154594,"Construction of roads, link roads, pathways or any other road with or without drainage system",423429.0,2024-11-25,,,,,False,493330.5,286379.82801138854,state+category,-0.2440866749777509,0,423429.0,True,0,0.0,0.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,1.4,30.9,Low,Low,No payment record yet — vendor pattern unverified,Completed — no execution backlog,67,,0,False
10562,Normal/Others,"WS/MP856/2024-2025/154595-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA),Rajnath Singh,LUCKNOW,Adarsh Vihar Colony me Rajitram Dubey ke makan se link road tak interlocking evm nali nirman karya-Length 100 meter,25-Nov-2024,1095987,25-Jan-2025,WS/MP856/2024-2025/154595,"Construction of roads, link roads, pathways or any other road with or without drainage system",1095987.0,2024-11-25,,,,,False,896912.0,728307.1130346985,state+category,0.2733393597798289,0,1095987.0,True,0,0.0,0.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,1.5,30.9,Low,Low,No payment record yet — vendor pattern unverified,Completed — no execution backlog,67,,0,False
10563,Normal/Others,WS/MP18082/2024-2025/154596-Construction of New Building,Karnataka,CHITRADURGA(DEPUTY COMMISSIONER CHITRADURGA_IDA),GOVIND MAKTHAPPA KARJOL,CHITRADURGA(SC),Construction of Room building with furniture in the Premises of Chitradurga District Court,25-Nov-2024,2500000,24-Mar-2025,WS/MP18082/2024-2025/154596,Construction of New Building,2500000.0,2024-11-25,,,,,False,500000.0,898888.2021697693,state+category,2.2249707974499238,0,,False,0,636.0,636.0,0.0,0.0,0,1.0986122886681098,,0.0,0,1,17.8,24.9,Low,Low,No payment record yet — vendor pattern unverified,Stuck at sanctioning stage for 636 days since recommendation,33,,0,False
