"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"10763","Rajasthan","Construction of community centers and community halls","WS/MP18162/2024-2025/163572","Shahpura(DISTRICT COLLECTOR Shahpura_IDA)","DAMODAR AGARWAL","BHILWARA","07-Mar-2026","satyanarayan pareek","Payment Success","20800"
"10764","Rajasthan","Construction of community centers and community halls","WS/MP18162/2024-2025/163572","Shahpura(DISTRICT COLLECTOR Shahpura_IDA)","DAMODAR AGARWAL","BHILWARA","07-Mar-2026","goru gurjar","Payment Success","6890"
"10765","Rajasthan","Construction of community centers and community halls","WS/MP18162/2024-2025/163572","Shahpura(DISTRICT COLLECTOR Shahpura_IDA)","DAMODAR AGARWAL","BHILWARA","07-Mar-2026","Mahadev gurjar","Payment Success","10400"
"10766","Rajasthan","Construction of community centers and community halls","WS/MP18162/2024-2025/163572","Shahpura(DISTRICT COLLECTOR Shahpura_IDA)","DAMODAR AGARWAL","BHILWARA","07-Mar-2026","ramkishan gurjar","Payment Success","6890"
"10767","Rajasthan","Construction of community centers and community halls","WS/MP18162/2024-2025/163572","Shahpura(DISTRICT COLLECTOR Shahpura_IDA)","DAMODAR AGARWAL","BHILWARA","07-Mar-2026","Aanand pareek","Payment Success","6890"
"10768","Rajasthan","Construction of community centers and community halls","WS/MP18162/2024-2025/163572","Shahpura(DISTRICT COLLECTOR Shahpura_IDA)","DAMODAR AGARWAL","BHILWARA","07-Mar-2026","Mansha kumari gurjar","Payment Success","6890"
"10769","Rajasthan","Construction of community centers and community halls","WS/MP18162/2024-2025/163572","Shahpura(DISTRICT COLLECTOR Shahpura_IDA)","DAMODAR AGARWAL","BHILWARA","07-Mar-2026","Kalyanmal gurjar","Payment Success","20800"
"10770","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18054/2025-2026/236386","MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA)","HARIBHAI PATEL","MAHESANA","02-Mar-2026","RALISANA GRAM PANCHAYAT","Payment Success","280000"
"10771","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18054/2025-2026/236376","MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA)","HARIBHAI PATEL","MAHESANA","02-Mar-2026","RALISANA GRAM PANCHAYAT","Payment Success","100000"
"10772","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18054/2025-2026/236377","MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA)","HARIBHAI PATEL","MAHESANA","02-Mar-2026","RALISANA GRAM PANCHAYAT","Payment Success","59999"
"10773","Maharashtra","Providing drains and gutters for public drainage","WS/MP18258/2025-2026/183824","CHANDRAPUR(DISTRICT COLLECTOR CHANDRAPUR_IDA)","DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU","CHANDRAPUR","17-Mar-2026","DISHA ENTERPRISES","Payment Success","984502"
"10774","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18258/2025-2026/183816","CHANDRAPUR(DISTRICT COLLECTOR CHANDRAPUR_IDA)","DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU","CHANDRAPUR","10-Mar-2026","DISHA ENTERPRISES","Payment Success","476962"
"10775","Maharashtra","Providing drains and gutters for public drainage","WS/MP18258/2025-2026/183814","CHANDRAPUR(DISTRICT COLLECTOR CHANDRAPUR_IDA)","DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU","CHANDRAPUR","10-Mar-2026","DISHA ENTERPRISES","Payment Success","999828"
"10776","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18267/2025-2026/250873","KRISHNAGIRI(DISTRICT COLLECTOR KRISHNAGIRI_IDA)","GOPINATH K","KRISHNAGIRI","28-Feb-2026","Sivaboosanam","Payment Success","524022"
"10777","Punjab","Installing community drinking water plants","WS/MP18311/2025-2026/229730","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","10-Mar-2026","Rajwinder Kaur","Payment Success","98196"
