work_id,Hon'ble Members of Parliament,State,Constituency,work_type,recommended_amount,is_sanctioned,stuck_days,early_warning_score
WS/MP18079/2025-2026/148399,SAGAR ESHWAR KHANDRE,Karnataka,BIDAR,Lighting of public spaces,250000.0,True,412.0,33.2
WS/MP18079/2025-2026/148397,SAGAR ESHWAR KHANDRE,Karnataka,BIDAR,Lighting of public spaces,250000.0,True,439.0,33.2
WS/MP638/2024-2025/152445,Virendra Kumar,Madhya Pradesh,TIKAMGARH(SC),Construction of buildings for community cultural activities,1200000.0,False,647.0,33.1
WS/MP638/2024-2025/152450,Virendra Kumar,Madhya Pradesh,TIKAMGARH(SC),Construction of buildings for community cultural activities,1200000.0,False,647.0,33.1
WS/MP638/2024-2025/152446,Virendra Kumar,Madhya Pradesh,TIKAMGARH(SC),Construction of buildings for community cultural activities,1200000.0,False,647.0,33.1
WS/MP638/2024-2025/152447,Virendra Kumar,Madhya Pradesh,TIKAMGARH(SC),Construction of buildings for community cultural activities,1200000.0,False,647.0,33.1
WS/MP18152/2025-2026/141185,SARABJEET SINGH KHALSA,Punjab,FARIDKOT(SC),Construction of buildings for multi-gym,800000.0,True,508.0,33.1
WS/MP478/2026-2027/154202,Mala Rajya Laxmi Shah,Uttarakhand,TEHRI GARHWAL,Construction of footpaths and pedestrian ways,100000.0,False,637.0,33.1
WS/MP632/2024-2025/142075,Anto Antony,Kerala,PATHANAMTHITTA,Purchase of books and periodicals for libraries/digitization of library books,50000.0,True,541.0,33.1
WS/MP638/2024-2025/152442,Virendra Kumar,Madhya Pradesh,TIKAMGARH(SC),Construction of buildings for community cultural activities,1200000.0,False,647.0,33.1
WS/MP18277/2025-2026/149810,AZAD KIRTI JHA,West Bengal,BARDHAMAN-DURGAPUR,Construction of community centers and community halls,10000000.0,False,663.0,33.1
WS/MP638/2024-2025/152443,Virendra Kumar,Madhya Pradesh,TIKAMGARH(SC),Construction of buildings for community cultural activities,1200000.0,False,647.0,33.1
WS/MP350/2025-2026/143210,Shri Rajmohan Unnithan,Kerala,KASARAGOD,Street lights,300000.0,True,185.0,33.1
WS/MP638/2024-2025/152490,Virendra Kumar,Madhya Pradesh,TIKAMGARH(SC),Construction of buildings for community cultural activities,1200000.0,False,647.0,33.1
WS/MP638/2024-2025/152453,Virendra Kumar,Madhya Pradesh,TIKAMGARH(SC),Construction of buildings for community cultural activities,1200000.0,False,647.0,33.1
WS/MP18393/2025-2026/151985,MADHAVANENI RAGHUNANDAN RAO,Telangana,MEDAK,Construction of rooms and halls in school and colleges,1000000.0,False,650.0,33.1
WS/MP638/2024-2025/152444,Virendra Kumar,Madhya Pradesh,TIKAMGARH(SC),Construction of buildings for community cultural activities,1200000.0,False,647.0,33.1
WS/MP18311/2024-2025/143230,MALVINDER SINGH KANG,Punjab,ANANDPUR SAHIB,Installation of fixed garden gym equipment,200000.0,True,650.0,33.0
